Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,54.709999,55.680000,54.680000,55.560001,53.817295,2547100
2023-05-08,55.720001,56.009998,55.299999,55.630001,53.885098,2117600
2023-05-09,55.029999,55.279999,54.680000,55.169998,53.439526,1973700
2023-05-10,55.750000,55.810001,55.099998,55.639999,53.894783,1463200
2023-05-11,55.470001,56.270000,55.169998,56.209999,54.446903,1458700
2023-05-12,56.430000,56.630001,56.099998,56.430000,54.660004,1507400
2023-05-15,56.470001,57.090000,56.410000,57.080002,55.289616,1865200
2023-05-16,56.950001,57.049999,55.880001,56.090000,54.330669,1746800
2023-05-17,56.340000,56.770000,56.070000,56.730000,54.950596,1861000
2023-05-18,56.689999,56.689999,56.240002,56.570000,54.795612,1205600
2023-05-19,56.849998,56.939999,55.939999,56.139999,54.379097,2060200
2023-05-23,56.139999,56.869999,56.090000,56.250000,54.485649,1785500
2023-05-24,55.700001,55.930000,55.389999,55.639999,53.894783,2608000
2023-05-25,56.240002,57.110001,56.099998,56.779999,54.999027,4355200
2023-05-26,56.810001,57.610001,56.700001,57.540001,55.735188,1821700
2023-05-29,57.610001,57.689999,57.470001,57.599998,55.793304,550500
2023-05-30,57.540001,57.770000,56.939999,57.029999,55.241184,2731100
2023-05-31,56.750000,56.919998,55.810001,55.970001,54.214436,5831800
2023-06-01,55.910000,56.090000,55.169998,55.419998,53.681683,2231300
2023-06-02,55.830002,57.459999,55.790001,57.360001,55.560837,3208100
2023-06-05,57.500000,57.500000,56.250000,56.389999,54.621258,3890900
2023-06-06,56.349998,57.419998,56.290001,57.389999,55.589890,3282500
2023-06-07,57.320000,57.750000,57.099998,57.400002,55.599583,2758600
2023-06-08,57.259998,57.599998,57.020000,57.330002,55.531776,2631000
2023-06-09,57.459999,57.490002,56.939999,57.049999,55.260559,2529500
2023-06-12,56.900002,57.270000,56.689999,56.990002,55.202442,3157600
2023-06-13,57.160000,57.480000,57.029999,57.270000,55.473656,2520100
2023-06-14,57.340000,57.790001,57.270000,57.639999,55.832050,2725000
2023-06-15,57.709999,58.070000,57.500000,58.020000,56.200130,2571500
2023-06-16,58.240002,58.560001,57.959999,58.259998,56.432606,7388000
2023-06-19,58.439999,58.450001,58.090000,58.360001,56.529469,496100
2023-06-20,57.910000,58.250000,57.080002,57.139999,55.347733,12152500
2023-06-21,57.279999,57.299999,56.549999,56.590000,54.814987,9073500
2023-06-22,56.400002,56.480000,55.740002,55.840000,54.088512,2309400
2023-06-23,55.599998,55.639999,55.180000,55.250000,53.517017,5046500
2023-06-26,55.259998,56.490002,55.259998,56.340000,54.572830,4396300
2023-06-27,55.560001,55.939999,55.389999,55.820000,54.917168,4461800
